month,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,WSL,Wind,total_gen,renewable_gen,renewable_pct
2025-03,7336.6838960000005,4224478.342187,1873925.8788100001,7677525.097859,23225.950051,3767491.212533,422256.078986,5181112.575993,-503681.939925,12049336.015146,86707023.5132639,17261011.225086,0.1990728147004783
2025-04,9921.294156,4171661.0497149997,2499057.005488,9008815.57485,53760.396921,3305878.818955,403067.309815,5309451.967422,-480794.81695,12205203.413384,90550381.58117779,17578337.071883,0.19412769736507562
2025-05,13667.038048,4695607.296435,3072209.139784,14301985.884896,112019.78307,3301988.50771,380888.799508,6550523.338898,-467695.948192,9274933.584435,98423398.9804595,15951143.744451,0.1620665808098932
2025-06,27176.661018,5516155.514845,3255409.845431,15159554.915461,113447.284934,3600036.810876,378528.044023,6972272.03679,-468822.254507,10604268.750128,108033220.343205,17717164.732869998,0.1639973767012154
2025-07,34597.073738,6066200.756733,4252549.197946,17326093.249442,83329.130231,3702899.685662,441688.954065,7249768.08059,-535553.096853,9189346.048668,112178878.8399735,16557040.333227001,0.14759498850800704
2025-08,53153.276393,6291156.67676,5369712.466827,19506932.828571,32592.358744999998,3688409.436088,536793.896905,7423407.392732,-655037.745776,7108859.130639,113329971.8904521,14618012.158509001,0.12898628592830833
2025-09,48468.027338,6018910.717612,3602590.735323,17235806.793938998,22587.716974,3385286.728978,534533.17293,6964545.701213,-643729.995544,6754909.7336369995,101638330.15792564,13790511.179162,0.13568218956110656
2025-10,36224.712617,5557963.851802,3776820.154288,13669740.264342,11975.953459,2838036.683624,558515.014031,6179521.095815,-679048.079655,9000323.597267,97128192.22620657,15228045.359158,0.15678295879009738
2025-11,22295.870041,4519605.120578,3049382.356016,9907692.280469,11819.869822,3311239.206999,540447.763511,4876017.640915,-642524.656326,9888312.256115,85767021.47021522,14798445.636893,0.172542375649971
2025-12,54460.902205,4664148.917859,2941545.438664,11918619.165655,17693.89327,3793172.724549,80199.124607,4064136.379317,-733657.557441,10312785.055572,88675284.70820345,14449076.230363999,0.16294366889162407
